Area Name,Region,State,NPS Fee Acres,NPS Less Than Fee Acres,Other Federal Fee Acres,Subtotal Federal Acres,Other Public Acres,Private Acres,Subtotal Non-Federal Acres,Gross Area Acres
A LINCOLN BIRTHPL NHP,1,KY,344.50,0.00,0.00,344.50,0.00,0.00,0.00,344.50
ACADIA NP,1,ME,"37,479.58","10,707.90",21.77,"48,209.25",48.22,813.93,862.15,"49,071.40"
ADAMS NHP,1,MA,9.17,0.00,0.00,9.17,4.00,10.65,14.65,23.82
AFRICAN BURIAL GROUND NM,1,NY,0.35,0.00,0.00,0.35,0.00,0.00,0.00,0.35
AGATE FOSSIL BEDS NM,5,NE,"2,270.33",459.75,0.00,"2,730.08",24.43,303.36,327.79,"3,057.87"
ALAGNAK WILD RVR,11,AK,"26,417.85",0.00,0.00,"26,417.85","2,265.00","1,981.94","4,246.94","30,664.79"
ALIBATES FLINT QUARRIES N,6,TX,"1,079.23",0.00,0.00,"1,079.23",0.00,291.74,291.74,"1,370.97"
ALLEGHENY PRTGE RR NHS,1,PA,"1,255.02",0.00,0.00,"1,255.02",16.25,13.00,29.25,"1,284.27"
AMISTAD NRA,6,TX,"55,532.07","1,045.11",919.42,"57,496.60",401.49,"5,047.06","5,448.55","62,945.15"
ANDERSONVILLE NHS,2,GA,499.88,1.00,0.00,500.88,7.89,6.84,14.73,515.61
ANDREW JOHNSON NHS,2,TN,16.68,0.00,0.00,16.68,0.00,0.00,0.00,16.68
ANIAKCHAK N PRESERVE,11,AK,"458,809.35",0.00,0.00,"458,809.35","5,147.00",161.58,"5,308.58","464,117.93"
ANIAKCHAK NM,11,AK,"137,176.00",0.00,0.00,"137,176.00",0.00,0.00,0.00,"137,176.00"
ANTIETAM NB,1,MD,"1,995.94",786.03,0.00,"2,781.97",50.20,455.41,505.61,"3,287.58"
APOSTLE ISLANDS NL,3,WI,"42,160.70",0.00,0.00,"42,160.70","27,165.31",51.42,"27,216.73","69,377.43"
